,FEN
65,1r2k3p1b1q32p5P1Pp2pp3Pppb12B1Pr23KN1Q1R4NR1
66,1r2k3p1b1q32p5P1Pp2pp3Pppb12B1Pr23KN1Q1R4N1R
67,1r2k3p1b2q22p5P1Pp2pp3Pppb12B1Pr23KN1Q1R4N1R
68,1r2k3p1b2q22p5P1Pp2pp3Pppb12B1Pr23KN1Q14RN1R
69,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1pr23KN1Q14RN1R
70,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1Nr23KN1Q14R2R
71,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1N33KNrQ14R2R
72,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1N33KNQ24R2R
73,1r2k3p1b52p5P1Pp2pp3Pp1b12B1N33KNq24R2R
74,1r2k3p1b52p5P1Pp2pp3Pp1N12B53KNq24R2R
75,1r2k3p72p5P1Pp2pp3PpbN12B53KNq24R2R
76,1r2k3p72p5P1Pp2pp3PpbN12B52K1Nq24R2R
77,1r2k3p72p5P1Pp2p13Ppbp12B52K1Nq24R2R
78,1r2k3p72p5P1Pp2p13Ppbp182KBNq24R2R
79,1r2k3p72p5P1Pp2p13P1bp14p32KBNq24R2R
80,1r2k3p72p5P1Pp2p13P1bp14p32K1Nq22B1R2R
81,1r2k3p72p5P1Pp2p13P1bp14p32K1N1q12B1R2R
82,1r2k3p72p5P1Pp2p13P1bp12K1p34N1q12B1R2R
83,1r6p2k42p5P1Pp2p13P1bp12K1p34N1q12B1R2R
84,1r6p2k3R2p5P1Pp2p13P1bp12K1p34N1q12B1R3
85,1r6p6R2p1k3P1Pp2p13P1bp12K1p34N1q12B1R3
86,1r6p72p1k2RP1Pp2p13P1bp12K1p34N1q12B1R3
87,1r6p72p4RP1Pp1kp13P1bp12K1p34N1q12B1R3
88,1r6p72p4RP1Pp1kp13P1bp12K1B34N1q14R3
89,1r6p72p4RP1Pp1kp13P2p12K1b34N1q14R3
90,1r6p72p4RP1Pp1kp13P2p12K1b34N1q15R2
91,1r6p72p4RP1Pp1kp13P1bp12K54N1q15R2
92,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR
93,rnbqkbnrpppp1ppp84p34P38PPPP1PPPRNBQKBNR
94,rnbqkbnrpppp1ppp84p34P35N2PPPP1PPPRNBQKB1R
95,r1bqkbnrpppp1ppp2n54p34P35N2PPPP1PPPRNBQKB1R
96,r1bqkbnrpppp1ppp2n54p33PP35N2PPP2PPPRNBQKB1R
97,r1bqkbnrpppp1ppp2n583pP35N2PPP2PPPRNBQKB1R
98,r1bqkbnrpppp1ppp2n583NP38PPP2PPPRNBQKB1R
99,r1bqkb1rpppp1ppp2n2n283NP38PPP2PPPRNBQKB1R
100,r1bqkb1rpppp1ppp2n2n283NP32N5PPP2PPPR1BQKB1R
101,r1bqk2rpppp1ppp2n2n281b1NP32N5PPP2PPPR1BQKB1R
102,r1bqk2rpppp1ppp2N2n281b2P32N5PPP2PPPR1BQKB1R
103,r1bqk2rp1pp1ppp2p2n281b2P32N5PPP2PPPR1BQKB1R
104,r1bqk2rp1pp1ppp2p2n281b2P32NB4PPP2PPPR1BQK2R
105,r1bqk2rp1p2ppp2p2n23p41b2P32NB4PPP2PPPR1BQK2R
106,r1bqk2rp1p2ppp2p2n23P41b62NB4PPP2PPPR1BQK2R
107,r1bqk2rp1p2ppp5n23p41b62NB4PPP2PPPR1BQK2R
108,r1bqk2rp1p2ppp5n23p41b62NB4PPP2PPPR1BQ1RK1
109,r1bq1rk1p1p2ppp5n23p41b62NB4PPP2PPPR1BQ1RK1
110,r1bq1rk1p1p2ppp5n23p2B11b62NB4PPP2PPPR2Q1RK1
111,r1bq1rk1p4ppp2p2n23p2B11b62NB4PPP2PPPR2Q1RK1
112,r1bq1rk1p4ppp2p2n23p2B11b63B4PPP1NPPPR2Q1RK1
