,FEN
11428,r1bq1rk12pn1pppp2p1b21p2p31P1PP31P3N21BP2PPPRN1QR1K1
11429,r1bq1rk12pn1pppp2p1b21p2p31PPPP31P3N21B3PPPRN1QR1K1
11430,1rbq1rk12pn1pppp2p1b21p2p31PPPP31P3N21B3PPPRN1QR1K1
11431,1rbq1rk12pn1pppp2p1b21p2p31PPPP31P3N21B1Q1PPPRN2R1K1
11432,1rbqr1k12pn1pppp2p1b21p2p31PPPP31P3N21B1Q1PPPRN2R1K1
11433,1rbqr1k12pn1pppp2p1b21p2p31PPPP3NP3N21B1Q1PPPR3R1K1
11434,1rbqr1k12pn1pppp2p1b24p31PpPP3NP3N21B1Q1PPPR3R1K1
11435,1rbqr1k12pn1pppp2p1b24p31PPPP3N4N21B1Q1PPPR3R1K1
11436,1rbqr1k12pn1pppp2p1b281PPpP3N4N21B1Q1PPPR3R1K1
11437,1rbqr1k12pn1pppp2p1b281PPNP3N71B1Q1PPPR3R1K1
11438,1r1qr1k11bpn1pppp2p1b281PPNP3N71B1Q1PPPR3R1K1
11439,1r1qr1k11bpn1pppp2p1b281PPNP3N4P21B1Q2PPR3R1K1
11440,1r1qr1k11bp2pppp2p1b24n31PPNP3N4P21B1Q2PPR3R1K1
11441,1r1qr1k11bp2pppp2p1b24nN21PP1P3N4P21B1Q2PPR3R1K1
11442,1rbqr1k12p2pppp2p1b24nN21PP1P3N4P21B1Q2PPR3R1K1
11443,1rbqr1k12p2pppp2p1b24n31PP1P3N3NP21B1Q2PPR3R1K1
11444,1rbqr1k12p2pppp2p44n1b11PP1P3N3NP21B1Q2PPR3R1K1
11445,1rbqr1k12p2pppp2p44B1b11PP1P3N3NP23Q2PPR3R1K1
11446,1rbq2k12p2pppp2p44r1b11PP1P3N3NP23Q2PPR3R1K1
11447,1rbq2k12p2pppp2p44r1b11PP1P34NP22NQ2PPR3R1K1
11448,1rbq2k12p2pppp2p44r31PP1Pb24NP22NQ2PPR3R1K1
11449,1rbq2k12p2pppp2p44r31PP1Pb24NP22N2QPPR3R1K1
11450,1rbq2k12p2pppp2p47r1PP1Pb24NP22N2QPPR3R1K1
11451,1rbq2k12p2pppp2p47r1PP1Pb24NPP12N2Q1PR3R1K1
11452,1rbq2k12p2pppp2p44b2r1PP1P34NPP12N2Q1PR3R1K1
11453,1rbq2k12p2pppp2p44b2r1PP1P3R3NPP12N2Q1P4R1K1
11454,1rbq2k15pppp1pp44b2r1PP1P3R3NPP12N2Q1P4R1K1
11455,1rbq2k15pppp1pp44b2r1PP1PP2R3N1P12N2Q1P4R1K1
11456,1rbq2k15pppp1pp1b27r1PP1PP2R3N1P12N2Q1P4R1K1
11457,1rbq2k15pppp1pp1b27r1PP1PP2R3N1P12N2Q1P3R2K1
11458,1rbq2k14bpppp1pp47r1PP1PP2R3N1P12N2Q1P3R2K1
11459,1rbq2k14bpppp1pp42P4r1P2PP2R3N1P12N2Q1P3R2K1
11460,1rb3k12q1bpppp1pp42P4r1P2PP2R3N1P12N2Q1P3R2K1
11461,1rb3k12q1bpppp1pP47r1P2PP2R3N1P12N2Q1P3R2K1
11462,1rb3k12q2pppp1pb47r1P2PP2R3N1P12N2Q1P3R2K1
11463,1rb3k12q2pppp1pb44P2r1P3P2R3N1P12N2Q1P3R2K1
11464,1rb2bk12q2pppp1p54P2r1P3P2R3N1P12N2Q1P3R2K1
11465,1rb2bk12q2pppp1p54P2r1P3P23RN1P12N2Q1P3R2K1
11466,1r3bk12q2pppp1p54P2r1P3P23RN1Pb2N2Q1P3R2K1
11467,1r3bk12q2pppp1p54P2r1P3PP13RN2b2N2Q1P3R2K1
11468,1r3bk12q2pppp1p4r4P31P3PP13RN2b2N2Q1P3R2K1
11469,1r3bk12q2pppp1p4r4PN21P3PP13R3b2N2Q1P3R2K1
11470,1r3bk12q2pppp1p54PN1r1P3PP13R3b2N2Q1P3R2K1
11471,1r3bk12q2pNpp1p54P2r1P3PP13R3b2N2Q1P3R2K1
11472,1r3bk12q2pNpp1p54P2r1P3Pb13R42N2Q1P3R2K1
11473,1r3bk12q2p1pp1p54P2N1P3Pb13R42N2Q1P3R2K1
11474,1r3bk12q2p1pp1p54P2b1P3P23R42N2Q1P3R2K1
11475,1r3bk12q2p1pp1p54P2b1P3P23R42NR1Q1P6K1
11476,1r3bk12q2p2p1p4p4P2b1P3P23R42NR1Q1P6K1
11477,1r3bk12qR1p2p1p4p4P2b1P3P282NR1Q1P6K1
11478,1r3bk13R1p2pqp4p4P2b1P3P282NR1Q1P6K1
11479,1r3bk13R1p2pQp4p4P2b1P3P282NR3P6K1
11480,5bk13R1p2prp4p4P2b1P3P282NR3P6K1
11481,3R1bk15p2prp4p4P2b1P3P282NR3P6K1
11482,3R1bk15p2pr5p2p1P2b1P3P282NR3P6K1
11483,3R1bk15p2pr5p2p1PP1b1P682NR3P6K1
11484,3R1bk15p2pr5p4PP1b1p682NR3P6K1
11485,3R1bk15p2pr5p4PP1b1p682N3RP6K1
11486,3R1b25p1kpr5p4PP1b1p682N3RP6K1
11487,5R25p1kpr5p4PP1b1p682N3RP6K1
11488,5R25p1kpr5p4PP1b81p62N3RP6K1
11489,5RR15p1kpr5p4PP1b81p62N4P6K1
11490,rnbqkbnrppp1pppp3p483P48PPP1PPPPRNBQKBNR
11491,rnbqkbnrppp1pppp3p483PP38PPP2PPPRNBQKBNR
11492,rnbqkbnrppp2ppp3p44p33PP38PPP2PPPRNBQKBNR
11493,rnbqkbnrppp2ppp3p44P34P38PPP2PPPRNBQKBNR
11494,rnbqkbnrppp2ppp84p34P38PPP2PPPRNBQKBNR
11495,rnbQkbnrppp2ppp84p34P38PPP2PPPRNB1KBNR
11496,rnbk1bnrppp2ppp84p34P38PPP2PPPRNB1KBNR
11497,rnbk1bnrppp2ppp84p34P35N2PPP2PPPRNB1KB1R
11498,rnbk2nrppp2ppp3b44p34P35N2PPP2PPPRNB1KB1R
11499,rnbk2nrppp2ppp3b44p34P32N2N2PPP2PPPR1B1KB1R
11500,rn1k2nrppp2ppp3bb34p34P32N2N2PPP2PPPR1B1KB1R
11501,rn1k2nrppp2ppp3bb34p34P32N1BN2PPP2PPPR3KB1R
11502,rn1k3rppp2ppp3bbn24p34P32N1BN2PPP2PPPR3KB1R
11503,rn1k3rppp2ppp3bbn24p34P32N1BN2PPP2PPP2KR1B1R
11504,rn1k3rppp2ppp3bb34p34P1n12N1BN2PPP2PPP2KR1B1R
11505,rn1k3rppp2ppp3bb34p1B14P1n12N2N2PPP2PPP2KR1B1R
11506,rn1k3rppp3pp3bbp24p1B14P1n12N2N2PPP2PPP2KR1B1R
11507,rn1k3rppp3pp3bbp24p34P1nB2N2N2PPP2PPP2KR1B1R
11508,r2k3rpppn2pp3bbp24p34P1nB2N2N2PPP2PPP2KR1B1R
11509,r2k3rpppn2pp3bbp24p34P1nB2N2N1PPPP2PP12KR1B1R
11510,r2k3rpppn2pp3bbp1n4p34P2B2N2N1PPPP2PP12KR1B1R
11511,r2k3rpppn2pp3bbp1n1N2p34P2B5N1PPPP2PP12KR1B1R
11512,r2k3rpppn1npp3bbp21N2p34P2B5N1PPPP2PP12KR1B1R
11513,r2k3rpppn1npp3Nbp24p34P2B5N1PPPP2PP12KR1B1R
11514,r2k3rpp1n1npp3pbp24p34P2B5N1PPPP2PP12KR1B1R
11515,r2k3rpp1n1npp3pbp24p34P2B7PPPPN1PP12KR1B1R
11516,2rk3rpp1n1npp3pbp24p34P2B7PPPPN1PP12KR1B1R
11517,2rk3rpp1n1npp3pbp24p34P2B1P5PP1PN1PP12KR1B1R
11518,2r4rpp1nknpp3pbp24p34P2B1P5PP1PN1PP12KR1B1R
11519,2r4rpp1nknpp3pbp24p34P2B1P5PPKPN1PP13R1B1R
11520,7rpprnknpp3pbp24p34P2B1P5PPKPN1PP13R1B1R
11521,7rpprnknpp3pbp24p32P1P2B1P5PPK1N1PP13R1B1R
11522,2r5pprnknpp3pbp24p32P1P2B1P5PPK1N1PP13R1B1R
11523,2r5pprnknpp3pbp24p32P1P2B1P1B3PPK1N1PP13R3R
11524,2r5ppr1knpp3pbp22n1p32P1P2B1P1B3PPK1N1PP13R3R
11525,2r5ppr1knpp3pbp22n1p32P1P2B1P5PPK1NBPP13R3R
11526,2r5p1r1knpp3pbp21pn1p32P1P2B1P5PPK1NBPP13R3R
11527,2r5p1r1knpp3pbp21pn1p32P1P2B1P3P1PPK1NB1P13R3R
11528,2r5p1r1knpp3pbp22n1p32p1P2B1P3P1PPK1NB1P13R3R
11529,2r5p1r1knpp3pbp22n1p32B1P2B1P3P1PPK1N2P13R3R
11530,2r52r1knpp3pbp2p1n1p32B1P2B1P3P1PPK1N2P13R3R
11531,2r52r1knpp3pbp2p1n1p32B1P31P3P1PPK1N1BP13R3R
11532,2r52r1knpp3pbp22n1p3p1B1P31P3P1PPK1N1BP13R3R
11533,2r52r1knpp3pbp22B1p3p1B1P31P3P1PPK1N2P13R3R
11534,2r54knpp3pbp22r1p3p1B1P31P3P1PPK1N2P13R3R
11535,2r54knpp3pbp22r1p3p1B1P31P3P1PPK1N2P12R4R
11536,2r54knpp3pbp22r1p32B1P31p3P1PPK1N2P12R4R
11537,2r54knpp3pbp22r1p32B1P31P3P1P1K1N2P12R4R
11538,2rn44k1pp3pbp22r1p32B1P31P3P1P1K1N2P12R4R
11539,2rn44k1pp3pbp22r1p32B1P31P3P1P1K1N2P1R6R
11540,2r54k1pp2npbp22r1p32B1P31P3P1P1K1N2P1R6R
11541,2r54k1pp2npbp22r1p32B1P31P3P1P1K1N2P1R1R5
11542,2r54k1pp3pbp22r1p32BnP31P3P1P1K1N2P1R1R5
11543,2r5R3k1pp3pbp22r1p32BnP31P3P1P1K1N2P12R5
11544,8R1r1k1pp3pbp22r1p32BnP31P3P1P1K1N2P12R5
11545,8R1r1k1pp3pbp22r1p32BnP31P3P1P1K1N2P1R7
11546,8R1rk2pp3pbp22r1p32BnP31P3P1P1K1N2P1R7
11547,82Rk2pp3pbp22r1p32BnP31P3P1P1K1N2P1R7
11548,82rk2pp3pbp24p32BnP31P3P1P1K1N2P1R7
11549,82rk2ppR2pbp24p32BnP31P3P1P1K1N2P18
11550,82r1k1ppR2pbp24p32BnP31P3P1P1K1N2P18
11551,82r1k1pp1R1pbp24p32BnP31P3P1P1K1N2P18
11552,82r1k1pp1R1pb34pp22BnP31P3P1P1K1N2P18
11553,82r1k1pp1R1pb34pp22BnP31P3P1P3N2P11K6
11554,82r1k1pp1R1p44pp22bnP31P3P1P3N2P11K6
11555,82r1k1pp1R1p44pp22NnP31P3P1P6P11K6
11556,82r1k1pp1R1p44p32Nnp31P3P1P6P11K6
11557,82r1k1pp1R1p44p32NnP31P5P6P11K6
11558,82r1k1pp1R1p44p32N1P31n5P6P11K6
11559,82r1k1pp1R1N44p34P31n5P6P11K6
11560,82r1k1pp1R1N44p34P37P3n2P11K6
11561,82r1k1pp1R1N44p34P37PK2n2P18
11562,82r1k2p1R1N2p14p34P37PK2n2P18
11563,82r1k2p1R1N2p14p34P2P8K2n2P18
11564,83rk2p1R1N2p14p34P2P8K2n2P18
11565,83rk2p1R4p11N2p34P2P8K2n2P18
11566,83rk2p1R4p11N2p34n2P8K5P18
11567,83rk2p1R4p11N2p34n2P1K66P18
11568,83rk2p1R3np11N2p37P1K66P18
11569,83rk2p2R2np11N2p37P1K66P18
11570,84k2p2R2np11N2p37P1K1r46P18
11571,84k2p5np11N2p37P1KRr46P18
11572,84k2p5np11N2p37P1Kr56P18
11573,84k2p5np14p37P1KN56P18
11574,87p4knp14p37P1KN56P18
11575,87p4knp14p37P2N52K3P18
11576,87p5np14pk27P2N52K3P18
11577,87p5np14pk27P2NK46P18
11578,87p5np14p36kP2NK46P18
11579,87p5np14p36kP2N1K36P18
11580,87p5np14p37P2N1K1k16P18
11581,87p5np14p2P82N1K1k16P18
11582,87p5n24p2p82N1K1k16P18
11583,87p5n21N2p2p84K1k16P18
11584,87p5n21N2p37p4K1k16P18
11585,87p3N1n24p37p4K1k16P18
11586,87p3N1n24p37p4K36k18
11587,87p5n24pN27p4K36k18
11588,87p5n24pN284K2p6k18
11589,87p5n24p37N4K2p6k18
11590,87p5n24p37N4K1kp88
11591,87p5n24pN284K1kp88
11592,87p5n24pN26k14K2p88
11593,rnbqk1nrpppp1ppp82b1p34PP28PPPP2PPRNBQKBNR
11594,rnbqk1nrpppp1ppp82b1p34PP25N2PPPP2PPRNBQKB1R
11595,rnbqk1nrppp2ppp3p42b1p34PP25N2PPPP2PPRNBQKB1R
11596,rnbqk1nrppp2ppp3p42b1p34PP22P2N2PP1P2PPRNBQKB1R
11597,rn1qk1nrppp2ppp3p42b1p34PPb12P2N2PP1P2PPRNBQKB1R
11598,rn1qk1nrppp2ppp3p42b1p33PPPb12P2N2PP4PPRNBQKB1R
11599,rn1qk1nrppp2ppp3p42b1p33PPP22P2b2PP4PPRNBQKB1R
11600,rn1qk1nrppp2ppp3p42b1p33PPP22P2P2PP5PRNBQKB1R
11601,rn2k1nrppp2ppp3p42b1p33PPP1q2P2P2PP5PRNBQKB1R
11602,rn2k1nrppp2ppp3p42b1p33PPP1q2P2P2PP2K2PRNBQ1B1R
11603,rn2k1nrppp2ppp1b1p44p33PPP1q2P2P2PP2K2PRNBQ1B1R
11604,rn2k1nrppp2ppp1b1p44p33PPP1qN1P2P2PP2K2PR1BQ1B1R
11605,rn2k1nrppp3pp1b1p44pp23PPP1qN1P2P2PP2K2PR1BQ1B1R
11606,rn2k1nrppp3pp1b1p44pp22NPPP1q2P2P2PP2K2PR1BQ1B1R
11607,rn2k1nrppp3pp1b1p44p32NPpP1q2P2P2PP2K2PR1BQ1B1R
11608,rn2k1nrppp3pp1b1p44P32NPp2q2P2P2PP2K2PR1BQ1B1R
11609,rn2k1nrppp3pp1b64p32NPp2q2P2P2PP2K2PR1BQ1B1R
11610,rn2k1nrppp3pp1b64N33Pp2q2P2P2PP2K2PR1BQ1B1R
11611,r3k1nrppp3pp1bn54N33Pp2q2P2P2PP2K2PR1BQ1B1R
11612,r3k1nrppp3pp1bN583Pp2q2P2P2PP2K2PR1BQ1B1R
11613,r3k1nrp1p3pp1bp583Pp2q2P2P2PP2K2PR1BQ1B1R
11614,r3k1nrp1p3pp1bp583Pp2q2P2P2PP2K1BPR1BQ3R
11615,r3k1nrp1p3pp1bp57q3Pp32P2P2PP2K1BPR1BQ3R
11616,r3k1nrp1p3pp1bp57q3Pp32P1BP2PP2K1BPR2Q3R
11617,r3k1nrp1p3pp1bp51q63Pp32P1BP2PP2K1BPR2Q3R
11618,r3k1nrp1p3pp1bp51q63Pp32P1BP2PP3KBPR2Q3R
11619,r3k2rp1p1n1pp1bp51q63Pp32P1BP2PP3KBPR2Q3R
11620,r3k2rp1p1n1pp1bp51q63PP32P1B3PP3KBPR2Q3R
11621,r3k2rp1p1n1pp1bp583PP32P1B3Pq3KBPR2Q3R
11622,r3k2rp1p1n1pp1bp583PP32P1B3Pq1Q1KBPR6R
11623,r4rk1p1p1n1pp1bp583PP32P1B3Pq1Q1KBPR6R
11624,r4rk1p1p1n1pp1bp583PP32P1B3Pq1QK1BPR6R
11625,r4rk1p1p1n1pp1bp51q63PP32P1B3P2QK1BPR6R
11626,r4rk1p1p1n1pp1bp51q63PP32PQB3P3K1BPR6R
11627,r4rk1p1p1n1pp1bp57q3PP32PQB3P3K1BPR6R
11628,r4rk1p1p1n1pp1bp57q3PP32PQB3P2K2BPR6R
11629,r4rk1p1p1n1pp1b62p4q3PP32PQB3P2K2BPR6R
11630,r4rk1p1p1n1pp1b62p4q2QPP32P1B3P2K2BPR6R
11631,r4r1kp1p1n1pp1b62p4q2QPP32P1B3P2K2BPR6R
11632,r4r1kp1p1n1pp1b62P4q2Q1P32P1B3P2K2BPR6R
11633,r4r1kp1p1n1pp8b1P4q2Q1P32P1B3P2K2BPR6R
11634,r4r1kp1p1n1pp8b1P4q2Q1P32P1B3P2K2BP5R1R
11635,r4r1kp1p1n1pp8b1P52Q1P1q12P1B3P2K2BP5R1R
11636,r4r1kp1p1n1pp8b1P52Q1P1q12P1B3P2K2BP5RR1
11637,r4r1kp1p3pp8b1P2n22Q1P1q12P1B3P2K2BP5RR1
11638,r4r1kp1p3pp8b1P2R22Q1P1q12P1B3P2K2BP6R1
11639,r6kp1p3pp8b1P2r22Q1P1q12P1B3P2K2BP6R1
11640,r6kp1p3pp8b1P2r22Q1P1q12P1B3P1K3BP6R1
11641,1r5kp1p3pp8b1P2r22Q1P1q12P1B3P1K3BP6R1
11642,1r5kp1p3pp8b1P2r22Q1P1q12P1B3P1K4P5BR1
11643,1r5kp1p3pp8b1P2r22Q1P2q2P1B3P1K4P5BR1
11644,1r5kp1p3pp8b1P2P22Q4q2P1B3P1K4P5BR1
11645,1r5kp1p3pp8b1P2P22Q52P1B3P1K4q5BR1
11646,1r5kp1p3pp8b1P2P22Q52P1B3P1K3Rq5B2
11647,1r5kp1p3pp8b1P1qP22Q52P1B3P1K3R15B2
11648,1r5kp1p3pp8b1P1qP22QB42P5P1K3R15B2
11649,r2qkb1rpppb1ppp2np1n21B2p33PP35N2PPP2PPPRNBQR1K1
11650,r2qkb1rpppb1ppp2np1n21B63pP35N2PPP2PPPRNBQR1K1
11651,r2qkb1rpppb1ppp2np1n21B63NP38PPP2PPPRNBQR1K1
11652,r2qk2rpppbbppp2np1n21B63NP38PPP2PPPRNBQR1K1
11653,r2q1rk1pppbbppp2Bp1n283NP32N5PPP2PPPR1BQR1K1
11654,r2q1rk1p1pbbppp2pp1n283NP32N5PPP2PPPR1BQR1K1
11655,r2q1rk1p1pbbppp2pp1n26B13NP32N5PPP2PPPR2QR1K1
11656,r2qr1k1p1pbbppp2pp1n26B13NP32N5PPP2PPPR2QR1K1
11657,r2qr1k1p1pbbppp2pp1n26B13NP32N2Q2PPP2PPPR3R1K1
11658,r2qr1k1p1pbbpp12pp1n1p6B13NP32N2Q2PPP2PPPR3R1K1
11659,r2qr1k1p1pbbpp12pp1n1p83NP2B2N2Q2PPP2PPPR3R1K1
11660,r2qr1k1p1pbbppn2pp3p83NP2B2N2Q2PPP2PPPR3R1K1
11661,r2qr1k1p1pbBppn2pp3p83NP32N2Q2PPP2PPPR3R1K1
11662,r3r1k1p1pbqppn2pp3p83NP32N2Q2PPP2PPPR3R1K1
11663,r3r1k1p1pbqppn2pp3p83NP32N2Q2PPP2PPP3RR1K1
11664,r3rnk1p1pbqpp12pp3p83NP32N2Q2PPP2PPP3RR1K1
11665,r3rnk1p1pbqpp12pp3p83NP32N2Q1PPPP2PP13RR1K1
11666,r3r1k1p1pbqpp12pp2np83NP32N2Q1PPPP2PP13RR1K1
11667,r3r1k1p1pbqpp12pp2np83NP32N3QPPPP2PP13RR1K1
11668,r3r1k1p1pb1pp12pp2np6q13NP32N3QPPPP2PP13RR1K1
11669,r3r1k1p1pb1pp12pp2np6Q13NP32N4PPPP2PP13RR1K1
11670,r3r1k1p1pb1pp12pp2n16p13NP32N4PPPP2PP13RR1K1
11671,r3r1k1p1pb1pp12pp2n16p13NP32N2P1PPPP3P13RR1K1
11672,r3r1k1p1pb2p12pp1pn16p13NP32N2P1PPPP3P13RR1K1
11673,r3r1k1p1pb2p12pp1pn16p13NP32N2P1PPPP2KP13RR3
11674,r3r3p1pb1kp12pp1pn16p13NP32N2P1PPPP2KP13RR3
11675,r3r3p1pb1kp12pp1pn16p14P32N2P1PPPP1NKP13RR3
11676,r3r32pb1kp12pp1pn1p5p14P32N2P1PPPP1NKP13RR3
11677,r3r32pb1kp12pp1pn1p5p14P31PN2P1PP1P1NKP13RR3
11678,rr62pb1kp12pp1pn1p5p14P31PN2P1PP1P1NKP13RR3
11679,rr62pb1kp12pp1pn1p5p14P31PN2P1PP1P2KP12NRR3
11680,rr62p2kp12ppbpn1p5p14P31PN2P1PP1P2KP12NRR3
11681,rr62p2kp12ppbpn1p5p14P31PNN1P1PP1P2KP13RR3
11682,rr62p2kp13pbpn1p1p3p14P31PNN1P1PP1P2KP13RR3
11683,rr62p2kp13pbpn1p1p3p14P31PN2P1PPNP2KP13RR3
11684,rr62p2kp13pbp2p1p1n1p14P31PN2P1PPNP2KP13RR3
11685,rr62p2kp13pbp2p1pNn1p14P31P3P1PPNP2KP13RR3
11686,r71rp2kp13pbp2p1pNn1p14P31P3P1PPNP2KP13RR3
11687,r71rp2kp13pbp2p1pNn1p14P31P2RP1PPNP2KP13R4
11688,r71rp2kp12npbp2p1pN2p14P31P2RP1PPNP2KP13R4
11689,r71rp2kp12npbp2p1pN2p14P31PR2P1PPNP2KP13R4
11690,r71rp2k22npbpp1p1pN2p14P31PR2P1PPNP2KP13R4
11691,r71rp2k22npbpp1p1pN2p1P3P31PR2P1P1NP2KP13R4
11692,r71rp2k22npb1p1p1pN1pp1P3P31PR2P1P1NP2KP13R4
11693,r71rp2k22npb1p1p1p2pp1P3P31PR1NP1P1NP2KP13R4
11694,4r31rp2k22npb1p1p1p2pp1P3P31PR1NP1P1NP2KP13R4
11695,4r31rp2k22npb1p1p1p2pp1P1N1P31PR2P1P1NP2KP13R4
11696,4r3r1p2k22npb1p1p1p2pp1P1N1P31PR2P1P1NP2KP13R4
11697,4r3r1p2k22npb1p1p1p2pp1P1N1P31PR2P1P1NP2KP14R3
11698,4r3r1p2k22np2p1p1p2pp1P1b1P31PR2P1P1NP2KP14R3
11699,4r3r1p2k22np2p1p1p2pp1P1N1P31PR2P1P2P2KP14R3
11700,4r3r1p52np1kp1p1p2pp1P1N1P31PR2P1P2P2KP14R3
11701,4r3r1p52np1kp1p1p2pp1P3P31PR1NP1P2P2KP14R3
11702,4r3r1p53p1kp1p1p1npp1P3P31PR1NP1P2P2KP14R3
11703,4r3r1p53p1kp1p1p1nPp1P71PR1NP1P2P2KP14R3
11704,4r3r1p53p1k2p1p1npp1P71PR1NP1P2P2KP14R3
11705,4r3r1p53p1k2p1p1npp1P71PR1NPPP2P2K24R3
11706,7rr1p53p1k2p1p1npp1P71PR1NPPP2P2K24R3
11707,7rr1p53p1k2p1p1npp1P4P21PR1N1PP2P2K24R3
11708,7rr1p53p1k2p1p1np2P4p21PR1N1PP2P2K24R3
11709,7rr1p53p1k2p1pNnp2P4p21PR3PP2P2K24R3
11710,7rr1p2k23p4p1pNnp2P4p21PR3PP2P2K24R3
11711,7rr1p2k23p4p1p1np2P4N21PR3PP2P2K24R3
11712,7r1rp2k23p4p1p1np2P4N21PR3PP2P2K24R3
11713,7r1rp2k23p4p1p1np2P4N21PR3PP2P3K14R3
11714,7r1rp2k23p4p3np2P1p2N21PR3PP2P3K14R3
11715,7r1rp2k23p4p3np2P1P2N22R3PP2P3K14R3
11716,7r2p2k23p4p3np2PrP2N22R3PP2P3K14R3
11717,7r2p2k23p4p1P1np2Pr3N22R3PP2P3K14R3
11718,7r2p2k23p4p1P1np2r4N22R3PP2P3K14R3
11719,7r2p2k23P4p3np2r4N22R3PP2P3K14R3
11720,7r5k23p4p3np2r4N22R3PP2P3K14R3
11721,7r2R2k23p4p3np2r4N26PP2P3K14R3
11722,7r2R53p1k2p3np2r4N26PP2P3K14R3
11723,7r2R53p1k2p2Nnp2r76PP2P3K14R3
11724,7r2R53p4p2Nnpk1r76PP2P3K14R3
11725,7r2R53p4p2Nnpk1r6P6P12P3K14R3
11726,7r2R53p3kp2Nnp2r6P6P12P3K14R3
11727,7r2R1N33p3kp3np2r6P6P12P3K14R3
11728,5r22R1N33p3kp3np2r6P6P12P3K14R3
11729,5r22R1N33p3kp3np2r6P6P12P3K13R4
11730,82R1Nr23p3kp3np2r6P6P12P3K13R4
11731,82R1Nr23R3kp3np2r6P6P12P3K18
11732,82R1Nr1k3R4p3np2r6P6P12P3K18
11733,82R1Nr1k4R3p3np2r6P6P12P3K18
11734,82R1Nr1k4R1n1p4p2r6P6P12P3K18
11735,82R1Nr1k6R1p4p2r6P6P12P3K18
11736,82R1r2k6R1p4p2r6P6P12P3K18
11737,82R1r2k2R5p4p2r6P6P12P3K18
11738,82r4k2R5p4p2r6P6P12P3K18
11739,82R4k8p4p2r6P6P12P3K18
11740,82R56k1p4p2r6P6P12P3K18
11741,882R3k1p4p2r6P6P12P3K18
11742,85k22R5p4p2r6P6P12P3K18
11743,85k22R5p4p2r6P5KP12P58
11744,85k22R5p4p24r2P5KP12P58
11745,85k28p1R2p24r2P5KP12P58
11746,885k2p1R2p24r2P5KP12P58
11747,885k2R4p24r2P5KP12P58
11748,885k2R4p22r4P5KP12P58
11749,88R4k25p22r4P5KP12P58
11750,88R74kp22r4P5KP12P58
11751,888R3kp22r4P5KP12P58
11752,885k25p22r4P5KP1R1P58
11753,8884kp22r4P5KP1R1P58
11754,8884kp22r4P5KP11RP58
11755,8884kp27P2r2KP11RP58
11756,8884kp27P2r3P11RP3K18
11757,885k25p27P2r3P11RP3K18
11758,885k25p27P2r3PK1RP58
11759,882r2k25p27P6PK1RP58
11760,1R682r2k25p27P6PK2P58
11761,1R685k25p27P6PK2r58
11762,881R3k25p27P6PK2r58
11763,86k11R65p27P6PK2r58
11764,86k11R65p1P86PK2r58
11765,86k11R65p1P2r56PK88
11766,86k16R15p1P2r56PK88
11767,87k6R15p1P2r56PK88
11768,87k5R25p1P2r56PK88
11769,87k5R25p1Pr76PK88
11770,r1bqkb1r1ppp1pppp1n54p3B3n35N2PPPP1PPPRNBQ1RK1
11771,r1bqkb1r1ppp1pppp1n54p3B2Pn35N2PPP2PPPRNBQ1RK1
11772,r1bqkb1r2pp1pppp1n51p2p3B2Pn35N2PPP2PPPRNBQ1RK1
11773,r1bqkb1r2pp1pppp1n51p2p33Pn31B3N2PPP2PPPRNBQ1RK1
11774,r1bqkb1r2p2pppp1n51p1pp33Pn31B3N2PPP2PPPRNBQ1RK1
11775,r1bqkb1r2p2pppp1n51p1pp3P2Pn31B3N21PP2PPPRNBQ1RK1
11776,r1bqkb1r2p2pppp71p1pp3P2nn31B3N21PP2PPPRNBQ1RK1
11777,r1bqkb1r2p2pppp71p1pp3P2Nn31B61PP2PPPRNBQ1RK1
11778,r1bqkb1r2p2pppp71p1p4P2pn31B61PP2PPPRNBQ1RK1
11779,r1bqkb1r2p2pppp71p1p4P2Qn31B61PP2PPPRNB2RK1
11780,r2qkb1r2p2pppp3b31p1p4P2Qn31B61PP2PPPRNB2RK1
11781,r2qkb1r2p2pppp3b31p1p4P2Qn31BP51P3PPPRNB2RK1
11782,r2qkb1r5pppp3b31ppp4P2Qn31BP51P3PPPRNB2RK1
11783,r2qkb1r5pppp3b31pppQ3P3n31BP51P3PPPRNB2RK1
11784,rq2kb1r5pppp3b31pppQ3P3n31BP51P3PPPRNB2RK1
11785,rQ2kb1r5pppp3b31ppp4P3n31BP51P3PPPRNB2RK1
11786,1r2kb1r5pppp3b31ppp4P3n31BP51P3PPPRNB2RK1
11787,1r2kb1r5pppp3b31Ppp44n31BP51P3PPPRNB2RK1
11788,1r2kb1r5ppp4b31ppp44n31BP51P3PPPRNB2RK1
11789,1r2kb1r5ppp4b31ppp44n3NBP51P3PPPR1B2RK1
11790,1r2k2r4bppp4b31ppp44n3NBP51P3PPPR1B2RK1
11791,1r2k2r4bppp4b31ppp44nB2NBP51P3PPPR4RK1
11792,4k2r1r2bppp4b31ppp44nB2NBP51P3PPPR4RK1
11793,4k2r1r2bppp4b31ppp44nB2NBP2P21P4PPR4RK1
11794,4k2r1r2bppp4bn21ppp45B2NBP2P21P4PPR4RK1
11795,4k2r1r2bppp4bn21Npp45B21BP2P21P4PPR4RK1
11796,5rk11r2bppp4bn21Npp45B21BP2P21P4PPR4RK1
11797,5rk11r2bppp4bn21Npp4B4B22P2P21P4PPR4RK1
11798,5rk11r2bppp4bn21N1p4B1p2B22P2P21P4PPR4RK1
